freq;indic_de;geo\TIME_PERIOD,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 
A;CNMIGRATRT;DEG0,-6.1 ,-5.8 ,-5.5 ,-3.5 ,-2.5 ,-1.9 ,-0.6 ,0.3 ,2.3 ,11.5 ,-1.3 ,2.0 
A;CNMIGRATRT;DK01,: ,2.7 ,6.9 ,7.9 ,8.0 ,5.9 ,7.0 ,7.3 ,7.3 ,8.6 ,6.2 ,4.6 
A;CNMIGRATRT;DK02,: ,4.6 ,2.7 ,0.3 ,0.3 ,-0.2 ,0.4 ,3.0 ,6.8 ,10.6 ,7.9 ,5.2 
A;CNMIGRATRT;DK03,: ,3.3 ,2.8 ,0.1 ,-0.4 ,0.6 ,0.2 ,1.3 ,3.1 ,5.3 ,4.4 ,3.0 
A;CNMIGRATRT;DK04,: ,5.0 ,5.5 ,2.1 ,2.7 ,1.9 ,2.6 ,2.4 ,2.3 ,6.3 ,5.9 ,4.8 
A;CNMIGRATRT;DK05,: ,3.3 ,2.3 ,-1.4 ,0.4 ,0.8 ,0.9 ,2.7 ,3.3 ,5.7 ,3.4 ,2.9 
A;CNMIGRATRT;EE00,-4.0 ,-2.1 ,-1.5 ,-1.6 ,-2.8 ,-2.9 ,-2.8 ,-2.0 ,-0.5 ,1.8 b,0.8 ,4.0 
A;CNMIGRATRT;EL30,1.1 ,0.7 ,0.2 ,-1.0 ,-4.0 ,-8.0 ,-12.7 ,-11.9 ,-9.7 ,-9.2 ,-0.6 ,-2.2 
A;CNMIGRATRT;EL41,-1.5 ,5.4 ,6.0 ,5.7 ,5.3 ,1.3 ,-1.8 ,-1.2 ,-0.9 ,-1.0 ,38.4 ,39.2 
A;CNMIGRATRT;EL42,5.4 ,3.3 ,3.3 ,-1.1 ,0.7 ,0.8 ,-2.4 ,-1.2 ,-1.2 ,-1.2 ,8.9 ,6.0 
A;CNMIGRATRT;EL43,4.2 ,3.9 ,4.4 ,3.7 ,3.1 ,1.5 ,-0.5 ,0.1 ,0.1 ,0.1 ,0.3 ,1.5 
A;CNMIGRATRT;EL51,5.3 ,4.9 ,5.6 ,2.8 ,3.4 ,2.4 ,-0.3 ,0.1 ,0.7 ,0.8 ,1.1 ,2.4 
A;CNMIGRATRT;EL52,3.4 ,2.6 ,2.7 ,2.6 ,1.1 ,-1.5 ,-3.8 ,-3.3 ,-2.7 ,-2.7 ,1.0 ,1.6 
