"TIME","GEO","TRA_MEAS","UNIT","Value","Flag and Footnotes"
"2008","EL23","Passengers carried (arrival)","Thousand passengers",":",""
"2008","EL24","Passengers carried (arrival)","Thousand passengers",":",""
"2008","EL25","Passengers carried (arrival)","Thousand passengers",":",""
"2008","EL30","Passengers carried (arrival)","Thousand passengers","8,214",""
"2008","EL41","Passengers carried (arrival)","Thousand passengers","690",""
"2008","EL42","Passengers carried (arrival)","Thousand passengers","3,298",""
"2008","EL43","Passengers carried (arrival)","Thousand passengers","3,648",""
"2008","ELZZ","Passengers carried (arrival)","Thousand passengers",":",""
"2008","ES11","Passengers carried (arrival)","Thousand passengers","2,131",""
"2008","ES12","Passengers carried (arrival)","Thousand passengers","760",""
"2008","ES13","Passengers carried (arrival)","Thousand passengers","427",""
"2008","ES21","Passengers carried (arrival)","Thousand passengers","2,309",""
"2008","ES22","Passengers carried (arrival)","Thousand passengers","215",""
"2008","ES23","Passengers carried (arrival)","Thousand passengers",":",""
"2008","ES24","Passengers carried (arrival)","Thousand passengers","299",""
"2008","ES30","Passengers carried (arrival)","Thousand passengers","25,150",""
"2008","ES41","Passengers carried (arrival)","Thousand passengers","234",""
"2008","ES42","Passengers carried (arrival)","Thousand passengers",":",""
"2008","ES43","Passengers carried (arrival)","Thousand passengers",":",""
"2008","ES51","Passengers carried (arrival)","Thousand passengers","18,617",""
"2008","ES52","Passengers carried (arrival)","Thousand passengers","7,657",""
"2008","ES53","Passengers carried (arrival)","Thousand passengers","14,966",""
"2008","ES61","Passengers carried (arrival)","Thousand passengers","10,319",""
"2008","ES62","Passengers carried (arrival)","Thousand passengers","935",""
"2008","ES63","Passengers carried (arrival)","Thousand passengers",":",""
"2008","ES64","Passengers carried (arrival)","Thousand passengers","153",""
"2008","ES70","Passengers carried (arrival)","Thousand passengers","16,593",""
"2008","FR10","Passengers carried (arrival)","Thousand passengers","43,327",""
"2008","FRB0","Passengers carried (arrival)","Thousand passengers","47",""
"2008","FRC1","Passengers carried (arrival)","Thousand passengers","7",""
"2008","FRC2","Passengers carried (arrival)","Thousand passengers",":",""
"2008","FRD1","Passengers carried (arrival)","Thousand passengers","99",""
"2008","FRD2","Passengers carried (arrival)","Thousand passengers","37",""
"2008","FRE1","Passengers carried (arrival)","Thousand passengers","512",""
"2008","FRE2","Passengers carried (arrival)","Thousand passengers","1,237",""
"2008","FRF1","Passengers carried (arrival)","Thousand passengers","2,778",""
"2008","FRF2","Passengers carried (arrival)","Thousand passengers","2",""
"2008","FRF3","Passengers carried (arrival)","Thousand passengers","131",""
"2008","FRG0","Passengers carried (arrival)","Thousand passengers","1,344",""
"2008","FRH0","Passengers carried (arrival)","Thousand passengers","938",""
"2008","FRI1","Passengers carried (arrival)","Thousand passengers","2,833",""
"2008","FRI2","Passengers carried (arrival)","Thousand passengers","198",""
"2008","FRI3","Passengers carried (arrival)","Thousand passengers","173",""
"2008","FRJ1","Passengers carried (arrival)","Thousand passengers","1,227",""
"2008","FRJ2","Passengers carried (arrival)","Thousand passengers","3,566",""
