"TIME","GEO","C_RESID","UNIT","NACE_R2","Value","Flag and Footnotes"
"2007","NL22","Reporting country","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","9,135,200",""
"2007","NL23","Reporting country","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","1,192,300",""
"2007","NL31","Reporting country","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","1,808,200",""
"2007","NL32","Reporting country","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","7,722,700",""
"2007","NL33","Reporting country","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","4,788,200",""
"2007","NL34","Reporting country","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","5,586,000",""
"2007","NL41","Reporting country","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","7,138,800",""
"2007","NL42","Reporting country","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","8,226,400",""
"2007","AT11","Reporting country","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","1,873,637",""
"2007","AT12","Reporting country","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","3,778,322",""
